Noun,MW,Count_Pre,P(n),P(w),P(n|w),"P(n,w)",log_term,MI_contribution
公寓,栋,1,0.0008737439930100481,0.0008737439930100481,0.5,0.00043687199650502403,9.160313114390162,0.004001884278894785
公式,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
公爵,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
关系,个,1,0.0008737439930100481,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,1.0651043640426823,0.00046531427000554053
关系,种,1,0.0008737439930100481,0.0563564875491481,0.007751937984496124,0.00043687199650502403,3.149271892511302,0.001375828699218568
内战,次,2,0.0008737439930100481,0.03014416775884666,0.028985507246376812,0.0008737439930100481,5.051971978345685,0.0044141301689346315
军人,名,3,0.001310615989515072,0.024464831804281346,0.05357142857142857,0.001310615989515072,5.3531424361595334,0.007015914070982351
军团,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
军队,支,2,0.0008737439930100481,0.004805591961555264,0.18181818181818182,0.0008737439930100481,7.701035935212319,0.006728733888346282
农书,部,1,0.00043687199650502403,0.013543031891655745,0.03225806451612903,0.00043687199650502403,6.206281383636882,0.0027113505389414075
冠军,个,3,0.0030581039755351682,0.23896898208824816,0.005484460694698354,0.001310615989515072,0.8427122160890458,0.001104472104965984
冠军,周,1,0.0030581039755351682,0.00043687199650502403,1.0,0.00043687199650502403,8.353039173615517,0.003649208900662087
冠军,次,3,0.0030581039755351682,0.03014416775884666,0.043478260869565216,0.001310615989515072,3.8295834145027836,0.005019113256229074
冰峰,座座,1,0.00043687199650502403,0.00043687199650502403,1.0,0.00043687199650502403,11.159746372651574,0.004875380678309993
出赛,场,1,0.00043687199650502403,0.010921799912625601,0.04,0.00043687199650502403,6.516615652206807,0.0028469268904354767
出路,条,1,0.00043687199650502403,0.021843599825251202,0.02,0.00043687199650502403,5.516630770031103,0.002410061498484536
分,时,6,0.002621231979030144,0.002621231979030144,1.0,0.002621231979030144,8.575518304717912,0.02247842281708496
分子,名,2,0.001310615989515072,0.024464831804281346,0.03571428571428571,0.0008737439930100481,4.768179990477188,0.004166168624270152
分子,种,1,0.001310615989515072,0.0563564875491481,0.007751937984496124,0.00043687199650502403,2.564310368407481,0.0011202753903047098
分工,次,1,0.00043687199650502403,0.03014416775884666,0.014492753623188406,0.00043687199650502403,5.05196666593463,0.0022070627636236917
分店,间,1,0.00043687199650502403,0.00655307994757536,0.06666666666666667,0.00043687199650502403,7.2535610895203755,0.003168877714949924
分支,个,2,0.0008737439930100481,0.23896898208824816,0.003656307129798903,0.0008737439930100481,2.0651041989262633,0.0018043723887516498
分期,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
分析,种,1,0.0008737439930100481,0.0563564875491481,0.007751937984496124,0.00043687199650502403,3.149271892511302,0.001375828699218568
分析,项,1,0.0008737439930100481,0.007863695937090432,0.05555555555555555,0.00043687199650502403,5.990556079190799,0.002617106194491393
分校,所,2,0.0008737439930100481,0.009174311926605505,0.09523809523809523,0.0008737439930100481,6.768166492312854,0.005913644816350244
分站,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
分类,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
列车,组,1,0.00043687199650502403,0.0017474879860200961,0.25,0.00043687199650502403,9.160313114390162,0.004001884278894785
初期,年代,1,0.00043687199650502403,0.005242463958060288,0.08333333333333333,0.00043687199650502403,7.575476586517851,0.003309513580829118
判决,项,1,0.00043687199650502403,0.007863695937090432,0.05555555555555555,0.00043687199650502403,6.990535082340956,0.003053969018060706
利刃,把,1,0.00043687199650502403,0.00043687199650502403,1.0,0.00043687199650502403,11.159746372651574,0.004875380678309993
别名,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
别墅,座,2,0.0008737439930100481,0.014416775884665793,0.06060606060606061,0.0008737439930100481,6.116096340281914,0.005343902437992061
制度,套,1,0.0008737439930100481,0.0030581039755351682,0.14285714285714285,0.00043687199650502403,7.353093163662955,0.0032123604908968783
制度,种,1,0.0008737439930100481,0.0563564875491481,0.007751937984496124,0.00043687199650502403,3.149271892511302,0.001375828699218568
前期,世纪,1,0.0008737439930100481,0.007426823940585408,0.058823529411764705,0.00043687199650502403,6.073017004265497,0.002653131063462428
前期,年代,1,0.0008737439930100481,0.005242463958060288,0.08333333333333333,0.00043687199650502403,6.5755080814488345,0.0028726553435774725
剑羚,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
剧本,部,1,0.00043687199650502403,0.013543031891655745,0.03225806451612903,0.00043687199650502403,6.206281383636882,0.0027113505389414075
剧集,部,1,0.00043687199650502403,0.013543031891655745,0.03225806451612903,0.00043687199650502403,6.206281383636882,0.0027113505389414075
副本,个,2,0.0008737439930100481,0.23896898208824816,0.003656307129798903,0.0008737439930100481,2.0651041989262633,0.0018043723887516498
力量,个,1,0.0008737439930100481,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,1.0651043640426823,0.00046531427000554053
力量,支,1,0.0008737439930100481,0.004805591961555264,0.09090909090909091,0.00043687199650502403,6.701036100328738,0.0029274950198028564
动乱,起,1,0.00043687199650502403,0.001310615989515072,0.3333333333333333,0.00043687199650502403,9.575287631369216,0.004183175024626132
动画,类,1,0.00043687199650502403,0.001310615989515072,0.3333333333333333,0.00043687199650502403,9.575287631369216,0.004183175024626132
助攻,次,1,0.00043687199650502403,0.03014416775884666,0.014492753623188406,0.00043687199650502403,5.05196666593463,0.0022070627636236917
努力,番,1,0.00043687199650502403,0.0017474879860200961,0.25,0.00043687199650502403,9.160313114390162,0.004001884278894785
劫匪,帮,1,0.00043687199650502403,0.00043687199650502403,1.0,0.00043687199650502403,11.159746372651574,0.004875380678309993
势力,派,1,0.00043687199650502403,0.00043687199650502403,1.0,0.00043687199650502403,11.159746372651574,0.004875380678309993
化石,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
北部,公里,0,0.0,0.0,0.0,0.0,0.0,0.0
区分,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
区划,个,3,0.001310615989515072,0.23896898208824816,0.005484460694698354,0.001310615989515072,2.0651043742051844,0.0027065588128508318
区域,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
医院,家,1,0.00043687199650502403,0.007863695937090432,0.05555555555555555,0.00043687199650502403,6.990535082340956,0.003053969018060706
十八大,年,1,0.00043687199650502403,0.22586282219309742,0.0019342359767891683,0.00043687199650502403,2.1464801453793863,0.0009377370665702867
单位,个,12,0.008300567933595456,0.23896898208824816,0.021937842778793418,0.005242463958060288,1.4021396668281658,0.00735066666751332
单位,层级,1,0.008300567933595456,0.00043687199650502403,1.0,0.00043687199650502403,6.912534780520012,0.0030198928704761956
单位,批,5,0.008300567933595456,0.00436871996505024,0.5,0.00218435998252512,5.912570321726815,0.012915182004645729
单位,间,1,0.008300567933595456,0.00655307994757536,0.06666666666666667,0.00043687199650502403,3.0056813164473115,0.0013130979975741858
单曲,张,1,0.00043687199650502403,0.0061162079510703364,0.07142857142857142,0.00043687199650502403,7.353093163662955,0.0032123604908968783
博客,名,1,0.00043687199650502403,0.024464831804281346,0.017857142857142856,0.00043687199650502403,5.353133657524508,0.0023386341885209736
卫星,颗,1,0.00043687199650502403,0.007426823940585408,0.058823529411764705,0.00043687199650502403,7.072994772335391,0.0030899933474597603
历史,个,1,0.0017474879860200961,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,0.06510470951929358,2.844242442957343e-05
历史,年,2,0.0017474879860200961,0.22586282219309742,0.0038684719535783366,0.0008737439930100481,1.1464810768334954,0.001001730953982958
历史,段,1,0.0017474879860200961,0.00873743993010048,0.05,0.00043687199650502403,4.838564534143419,0.002113833348249637
历程,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
原因,个,3,0.001310615989515072,0.23896898208824816,0.005484460694698354,0.001310615989515072,2.0651043742051844,0.0027065588128508318
原子,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
原理,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
县,个,10,0.00436871996505024,0.23896898208824816,0.018281535648994516,0.00436871996505024,2.0651046195957314,0.009021863781545354
参考,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
反例,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
反应,个,2,0.0008737439930100481,0.23896898208824816,0.003656307129798903,0.0008737439930100481,2.0651041989262633,0.0018043723887516498
发酵,次,1,0.00043687199650502403,0.03014416775884666,0.014492753623188406,0.00043687199650502403,5.05196666593463,0.0022070627636236917
受体,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
变数,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
变调,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
变革,次,1,0.00043687199650502403,0.03014416775884666,0.014492753623188406,0.00043687199650502403,5.05196666593463,0.0022070627636236917
叛乱,次,2,0.0008737439930100481,0.03014416775884666,0.028985507246376812,0.0008737439930100481,5.051971978345685,0.0044141301689346315
叛徒,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
台阶,级,1,0.00043687199650502403,0.00043687199650502403,1.0,0.00043687199650502403,11.159746372651574,0.004875380678309993
司铎,名,5,0.00218435998252512,0.024464831804281346,0.08928571428571429,0.00218435998252512,5.3531441918932705,0.011693193953458433
合同,份,1,0.00043687199650502403,0.0017474879860200961,0.25,0.00043687199650502403,9.160313114390162,0.004001884278894785
合约,年,1,0.00043687199650502403,0.22586282219309742,0.0019342359767891683,0.00043687199650502403,2.1464801453793863,0.0009377370665702867
吋,呎,1,0.00043687199650502403,0.00043687199650502403,1.0,0.00043687199650502403,11.159746372651574,0.004875380678309993
同工,位,1,0.00043687199650502403,0.01616426387068589,0.02702702702702703,0.00043687199650502403,5.95102828249083,0.002599837607029633
同行,位,1,0.00043687199650502403,0.01616426387068589,0.02702702702702703,0.00043687199650502403,5.95102828249083,0.002599837607029633
名单,年,1,0.00043687199650502403,0.22586282219309742,0.0019342359767891683,0.00043687199650502403,2.1464801453793863,0.0009377370665702867
名号,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
名字,个,3,0.001310615989515072,0.23896898208824816,0.005484460694698354,0.001310615989515072,2.0651043742051844,0.0027065588128508318
名词,个,2,0.0008737439930100481,0.23896898208824816,0.003656307129798903,0.0008737439930100481,2.0651041989262633,0.0018043723887516498
后期,世纪,1,0.001310615989515072,0.007426823940585408,0.058823529411764705,0.00043687199650502403,5.488061914263843,0.0023975805654276295
后期,年代,2,0.001310615989515072,0.005242463958060288,0.16666666666666666,0.0008737439930100481,6.990555914074379,0.006107956237723354
向导,位,1,0.00043687199650502403,0.01616426387068589,0.02702702702702703,0.00043687199650502403,5.95102828249083,0.002599837607029633
君主,代,1,0.00043687199650502403,0.0034949759720401923,0.125,0.00043687199650502403,8.160407592995563,0.0035650535574467293
君王,代,1,0.00043687199650502403,0.0034949759720401923,0.125,0.00043687199650502403,8.160407592995563,0.0035650535574467293
吻,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
周期,年,1,0.00043687199650502403,0.22586282219309742,0.0019342359767891683,0.00043687199650502403,2.1464801453793863,0.0009377370665702867
哥哥,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
